kl_loss_gex,kl_loss_pex,recons_loss_gex,recons_loss_pex,cosine_loss_gex,cosine_loss_pex,adj_loss,spatial_loss,mutual_info_loss,oracle,test_acc
3.3893458786099506e-12,3.4804422798656587e-12,0.0010959676001220942,0.0006460736622102559,0.0011179111897945404,0.0011179113062098622,2.257903686806276e-06,6.303046575339977e-06,0.0016425156500190496,0.04792592069584048,0.07939914163090128
2.9750121637028837e-12,3.1251967159973137e-12,0.0010757131967693567,0.0006104134954512119,0.001033741282299161,0.001033741282299161,2.1584580968584634e-06,5.5325731409539e-06,0.0015405459562316537,0.048168121116172774,0.08297567954220315
2.7182815460352616e-12,2.9745784828338895e-12,0.0010658793617039919,0.0005772851291112602,0.0010068960255011916,0.0010068960255011916,2.119208604855749e-06,5.476940714288503e-06,0.0015517023857682943,0.04038793787154682,0.14878397711015737
2.5436948554447003e-12,2.859950123945687e-12,0.0010485227685421705,0.0005486450390890241,0.0009636559407226741,0.0009636559407226741,2.132031880586843e-06,5.115356088936096e-06,0.0014016887871548533,0.02418359791357628,0.2730090605627086
2.4231387295986506e-12,2.7743842379718275e-12,0.001040667062625289,0.0005185217596590519,0.0009277195204049349,0.000927719462197274,2.125005425572427e-06,4.870251814281801e-06,0.0014023969415575266,0.043099710531197384,0.3364329995231283
2.3354848870810185e-12,2.7039947971679856e-12,0.0010275272652506828,0.0004897307371720672,0.0009209506679326296,0.0009209506679326296,2.1130857340420694e-06,4.891861863143276e-06,0.0014642656315118074,0.06740317423730163,0.3817358130662852
2.264122049566719e-12,2.640866691994148e-12,0.0010119564831256866,0.00046326909796334803,0.0008965021697804332,0.0008965021697804332,2.0982350953858142e-06,4.569826614897465e-06,0.0014439114602282643,0.08283353800770543,0.38412017167381973
2.204808818156989e-12,2.5910198465928236e-12,0.0010070886928588152,0.00043819702113978565,0.0008775557507760823,0.0008775557507760823,2.0931840085954774e-06,4.463887307792902e-06,0.0013855372089892626,0.09597527408775983,0.3748211731044349
2.1559251779657007e-12,2.5551830616643567e-12,0.0009875386022031307,0.00041410495759919286,0.000865463400259614,0.000865463400259614,2.0907986359647246e-06,4.582496785587864e-06,0.0013693898217752576,0.10317867365747789,0.3569384835479256
2.1172031142158154e-12,2.524907149678568e-12,0.0009807824390009046,0.0003917734429705888,0.0008544375887140632,0.0008544375887140632,2.068566223913999e-06,4.393687049741857e-06,0.0013932040892541409,0.10682940106196738,0.33738674296614213
2.085507114224505e-12,2.4953502805735717e-12,0.0009732641628943384,0.00036959483986720443,0.000840536376927048,0.000840536376927048,2.0845243734197873e-06,4.161621745879529e-06,0.001403185073286295,0.10998660255164944,0.34835479256080115
2.0619003466421093e-12,2.469559062454052e-12,0.000966806139331311,0.0003499190497677773,0.0008254952845163643,0.0008254952845163643,2.065918483915975e-06,4.3560303311096504e-06,0.001378931337967515,0.11206607323867486,0.32379589890319505
2.044116828928133e-12,2.4559640345728218e-12,0.0009581275517120957,0.00032985262805595994,0.0008219053852371871,0.0008219053852371871,2.0762717601679298e-06,4.2903911889879964e-06,0.00135464733466506,0.1148522392323587,0.2732474964234621
2.030659711563243e-12,2.445354248953313e-12,0.0009452289086766541,0.0003133204882033169,0.0008146074251271784,0.0008146074251271784,2.0847567036426567e-06,4.0540448935644235e-06,0.0013516158796846867,0.11743259999563188,0.24606580829756797
2.0199850906538197e-12,2.4332634431661893e-12,0.0009369193576276302,0.000296871381578967,0.0008108637994155288,0.0008108638576231897,2.056326480659515e-06,4.409158918861067e-06,0.0013611731119453907,0.11964437887039911,0.21578445398187887
2.0107834668159352e-12,2.4156445073419963e-12,0.0009226298425346613,0.00027955922996625304,0.0008089341572485864,0.0008089341572485864,2.052274557514454e-06,4.413768692757003e-06,0.0013619958190247416,0.12195858706740606,0.20648545541249405
2.0024912717603316e-12,2.3950771921299463e-12,0.0009211820433847606,0.0002642026811372489,0.0007995588821358979,0.0007995588821358979,2.063834976706067e-06,4.417838681547437e-06,0.001347505021840334,0.12521757441393996,0.20767763471626133
1.9946403469889296e-12,2.37549129672443e-12,0.0009130099788308144,0.00025113881565630436,0.0007862626225687563,0.0007862626807764173,2.0829382938897995e-06,4.249229732522508e-06,0.001330733415670693,0.12878289013219532,0.21411540295660467
1.9874249815310385e-12,2.3586926682639398e-12,0.0009056443232111633,0.00023737842275295407,0.0007891861605457962,0.0007891861605457962,2.106975001340341e-06,4.317577349866042e-06,0.0013267967151477933,0.1328031561308927,0.22126847877920838
